iter	Passed	Remaining
796	5368	1367
797	5374	1360
798	5379	1353
799	5385	1346
800	5391	1339
801	5397	1332
802	5403	1325
803	5413	1319
804	5419	1312
805	5427	1306
806	5434	1299
807	5440	1292
808	5447	1286
809	5453	1279
810	5459	1272
811	5465	1265
812	5471	1258
813	5477	1251
814	5483	1244
815	5489	1237
816	5495	1231
817	5501	1224
818	5507	1217
819	5513	1210
820	5519	1203
821	5525	1196
822	5531	1189
823	5538	1182
824	5544	1176
825	5551	1169
826	5558	1162
827	5564	1155
828	5571	1149
829	5577	1142
830	5584	1135
831	5592	1129
832	5598	1122
833	5605	1115
834	5613	1109
835	5620	1102
836	5628	1096
837	5635	1089
838	5642	1082
839	5648	1075
840	5654	1069
841	5660	1062
842	5667	1055
843	5673	1048
844	5680	1041
845	5686	1035
846	5692	1028
847	5698	1021
848	5705	1014
849	5711	1007
850	5718	1001
851	5723	994
852	5730	987
853	5736	980
854	5743	974
855	5749	967
856	5755	960
857	5762	953
858	5769	947
859	5775	940
860	5783	933
861	5791	927
862	5798	920
863	5805	913
864	5811	907
865	5818	900
866	5824	893
867	5830	886
868	5836	879
869	5842	873
870	5849	866
871	5855	859
872	5861	852
873	5868	846
874	5876	839
875	5882	832
876	5889	826
877	5896	819
878	5902	812
879	5908	805
880	5914	798
881	5921	792
882	5927	785
883	5934	778
884	5940	771
885	5947	765
886	5955	758
887	5961	751
888	5968	745
889	5974	738
890	5981	731
891	5988	725
892	5994	718
893	6000	711
894	6007	704
895	6013	697
896	6019	691
897	6024	684
898	6030	677
899	6036	670
900	6042	663
901	6048	657
902	6053	650
903	6059	643
904	6067	636
905	6074	630
906	6080	623
907	6086	616
908	6092	609
909	6098	603
910	6103	596
911	6109	589
912	6115	582
913	6121	575
914	6129	569
915	6135	562
916	6142	555
917	6150	549
918	6157	542
919	6164	536
920	6170	529
921	6177	522
922	6183	515
923	6189	509
924	6195	502
925	6201	495
926	6207	488
927	6213	482
928	6219	475
929	6225	468
930	6231	461
931	6237	455
932	6243	448
933	6249	441
934	6254	434
935	6260	428
936	6266	421
937	6272	414
938	6278	407
939	6284	401
940	6290	394
941	6296	387
942	6302	380
943	6309	374
944	6315	367
945	6322	360
946	6330	354
947	6337	347
948	6343	340
949	6350	334
950	6356	327
951	6362	320
952	6368	314
953	6374	307
954	6380	300
955	6386	293
956	6391	287
957	6397	280
958	6403	273
959	6409	267
960	6415	260
961	6421	253
962	6427	246
963	6433	240
964	6439	233
965	6445	226
966	6451	220
967	6457	213
968	6463	206
969	6469	200
970	6475	193
971	6481	186
972	6487	180
973	6500	173
974	6506	166
975	6512	160
976	6519	153
977	6526	146
978	6533	140
979	6539	133
980	6546	126
981	6553	120
982	6559	113
983	6567	106
984	6574	100
985	6581	93
986	6587	86
987	6596	80
988	6602	73
989	6609	66
990	6615	60
991	6623	53
992	6630	46
993	6637	40
994	6644	33
995	6650	26
996	6656	20
997	6663	13
998	6670	6
999	6676	0
